item_id,order_id,product_id,quantity,unit_price,subtotal
I000060,O00040,P018,2,110.79,221.58
I000061,O00040,P034,1,45.83,45.83
I000062,O00040,P038,2,46.85,93.7
I000063,O00041,P034,2,45.83,91.66
I000064,O00042,P015,1,54.2,54.2
I000065,O00043,P044,3,141.41,424.23
I000066,O00043,P003,1,140.08,140.08
I000067,O00043,P029,1,150.87,150.87
I000068,O00044,P002,3,499.38,1498.14
I000069,O00044,P031,1,21.68,21.68
I000070,O00045,P011,2,148.19,296.38
I000071,O00046,P030,2,295.24,590.48
I000072,O00046,P035,3,74.52,223.56
I000073,O00046,P018,1,110.79,110.79
I000074,O00047,P022,2,82.79,165.58
I000075,O00047,P043,3,129.81,389.43
I000076,O00048,P035,3,74.52,223.56
I000077,O00049,P039,2,61.74,123.48
I000078,O00049,P002,3,499.38,1498.14
I000079,O00050,P037,2,46.97,93.94
I000080,O00050,P040,2,21.28,42.56
I000081,O00050,P031,1,21.68,21.68
I000082,O00051,P022,3,82.79,248.37
I000083,O00052,P046,3,211.54,634.62
I000084,O00053,P004,3,111.08,333.24
I000085,O00053,P038,3,46.85,140.55
I000086,O00053,P023,3,295.84,887.52
I000087,O00054,P046,2,211.54,423.08
I000088,O00055,P039,1,61.74,61.74
I000089,O00056,P015,1,54.2,54.2
I000090,O00056,P040,1,21.28,21.28
I000091,O00056,P030,1,295.24,295.24
I000092,O00056,P045,2,53.88,107.76
I000093,O00057,P040,3,21.28,63.84
I000094,O00058,P046,3,211.54,634.62
I000095,O00059,P011,3,148.19,444.57
I000096,O00060,P024,3,241.78,725.34
I000097,O00061,P030,1,295.24,295.24
I000098,O00061,P048,1,157.25,157.25
I000099,O00061,P002,2,499.38,998.76
I000100,O00062,P039,3,61.74,185.22
I000101,O00062,P024,2,241.78,483.56
I000102,O00063,P035,3,74.52,223.56
I000103,O00063,P021,2,121.22,242.44
I000104,O00063,P041,1,96.33,96.33
I000105,O00064,P037,3,46.97,140.91
I000106,O00064,P021,3,121.22,363.66
I000107,O00065,P044,2,141.41,282.82
I000108,O00065,P040,1,21.28,21.28
I000109,O00066,P014,1,89.25,89.25
I000110,O00067,P009,3,414.73,1244.19
I000111,O00067,P046,1,211.54,211.54
I000112,O00068,P016,3,55.49,166.47
I000113,O00068,P017,1,36.26,36.26
I000114,O00068,P002,2,499.38,998.76
I000115,O00069,P046,2,211.54,423.08
I000116,O00069,P028,2,180.24,360.48
I000117,O00069,P011,2,148.19,296.38
I000118,O00070,P023,2,295.84,591.68
I000119,O00071,P040,2,21.28,42.56
I000120,O00071,P038,1,46.85,46.85
I000121,O00072,P002,2,499.38,998.76
I000122,O00073,P014,3,89.25,267.75
I000123,O00074,P002,2,499.38,998.76
I000124,O00074,P030,1,295.24,295.24
I000125,O00075,P043,2,129.81,259.62
I000126,O00076,P031,1,21.68,21.68
I000127,O00076,P043,3,129.81,389.43
I000128,O00077,P035,2,74.52,149.04
I000129,O00078,P036,1,53.08,53.08
I000130,O00078,P001,2,362.29,724.58
I000131,O00078,P015,2,54.2,108.4
I000132,O00079,P012,2,105.16,210.32
I000133,O00080,P020,3,38.5,115.5
I000134,O00080,P025,1,86.29,86.29
I000135,O00080,P042,1,41.69,41.69
I000136,O00081,P047,3,149.04,447.12
I000137,O00082,P023,2,295.84,591.68
I000138,O00083,P026,2,158.33,316.66
I000139,O00084,P022,1,82.79,82.79
I000140,O00084,P010,1,485.4,485.4
I000141,O00085,P009,2,414.73,829.46
I000142,O00086,P050,3,54.03,162.09
I000143,O00086,P037,2,46.97,93.94
I000144,O00087,P048,3,157.25,471.75
I000145,O00087,P008,1,498.77,498.77
I000146,O00087,P007,1,371.02,371.02
I000147,O00088,P041,3,96.33,288.99
I000148,O00089,P001,3,362.29,1086.87
I000149,O00090,P001,1,362.29,362.29
I000150,O00090,P021,1,121.22,121.22
I000151,O00090,P003,1,140.08,140.08
I000152,O00091,P043,1,129.81,129.81
I000153,O00091,P025,1,86.29,86.29
I000154,O00091,P037,1,46.97,46.97
I000155,O00092,P041,1,96.33,96.33
I000156,O00093,P005,3,83.32,249.96
I000157,O00093,P012,1,105.16,105.16
I000158,O00093,P035,2,74.52,149.04
I000159,O00094,P015,2,54.2,108.4
I000160,O00095,P020,3,38.5,115.5
I000161,O00095,P049,1,197.75,197.75
I000162,O00096,P004,1,111.08,111.08
I000163,O00096,P047,2,149.04,298.08
I000164,O00097,P017,2,36.26,72.52
I000165,O00098,P009,2,414.73,829.46
I000166,O00099,P027,2,121.05,242.1
I000167,O00099,P045,2,53.88,107.76
I000168,O00100,P011,2,148.19,296.38
I000169,O00101,P032,3,89.58,268.74
I000170,O00101,P023,1,295.84,295.84
I000171,O00102,P014,2,89.25,178.5
I000172,O00103,P017,3,36.26,108.78
I000173,O00104,P014,1,89.25,89.25
I000174,O00104,P032,1,89.58,89.58
I000175,O00105,P029,3,150.87,452.61
I000176,O00105,P035,1,74.52,74.52
I000177,O00106,P001,2,362.29,724.58
I000178,O00107,P012,3,105.16,315.48
I000179,O00107,P041,1,96.33,96.33
I000180,O00108,P023,1,295.84,295.84
I000181,O00109,P049,3,197.75,593.25
I000182,O00109,P035,1,74.52,74.52
I000183,O00110,P010,3,485.4,1456.2
I000184,O00111,P031,2,21.68,43.36
I000185,O00111,P039,3,61.74,185.22
I000186,O00111,P021,3,121.22,363.66
I000187,O00112,P024,2,241.78,483.56
I000188,O00112,P018,2,110.79,221.58
I000189,O00113,P038,2,46.85,93.7
I000190,O00113,P044,2,141.41,282.82
I000191,O00113,P024,1,241.78,241.78
I000192,O00114,P028,3,180.24,540.72
I000193,O00115,P026,3,158.33,474.99
I000194,O00115,P048,2,157.25,314.5
I000195,O00116,P003,1,140.08,140.08
I000196,O00116,P032,3,89.58,268.74
I000197,O00117,P047,2,149.04,298.08
I000198,O00117,P046,3,211.54,634.62
I000199,O00117,P049,3,197.75,593.25
I000200,O00117,P022,3,82.79,248.37
I000201,O00118,P043,2,129.81,259.62
I000202,O00118,P015,3,54.2,162.6
I000203,O00119,P014,1,89.25,89.25
I000204,O00120,P032,2,89.58,179.16
I000205,O00121,P016,2,55.49,110.98
I000206,O00121,P041,2,96.33,192.66
I000207,O00122,P018,3,110.79,332.37
I000208,O00122,P023,2,295.84,591.68
I000209,O00123,P037,3,46.97,140.91
I000210,O00124,P003,1,140.08,140.08
I000211,O00124,P007,3,371.02,1113.06
I000212,O00125,P014,2,89.25,178.5
I000213,O00126,P002,3,499.38,1498.14
I000214,O00126,P032,1,89.58,89.58
I000215,O00127,P045,2,53.88,107.76
I000216,O00127,P006,2,127.7,255.4
I000217,O00128,P043,2,129.81,259.62
I000218,O00128,P048,2,157.25,314.5
I000219,O00128,P007,3,371.02,1113.06
I000220,O00129,P036,3,53.08,159.24
I000221,O00130,P034,1,45.83,45.83
I000222,O00130,P044,2,141.41,282.82
I000223,O00130,P030,3,295.24,885.72
I000224,O00130,P035,3,74.52,223.56
I000225,O00131,P046,3,211.54,634.62
I000226,O00132,P002,2,499.38,998.76
I000227,O00132,P035,3,74.52,223.56
I000228,O00133,P026,2,158.33,316.66
I000229,O00134,P026,3,158.33,474.99
I000230,O00134,P040,3,21.28,63.84
I000231,O00134,P030,1,295.24,295.24
I000232,O00135,P041,2,96.33,192.66
I000233,O00136,P014,2,89.25,178.5
I000234,O00137,P043,3,129.81,389.43
I000235,O00137,P007,1,371.02,371.02
I000236,O00138,P010,2,485.4,970.8
I000237,O00138,P008,3,498.77,1496.31
I000238,O00138,P033,1,15.92,15.92
I000239,O00139,P039,1,61.74,61.74
I000240,O00140,P010,2,485.4,970.8
I000241,O00140,P026,2,158.33,316.66
I000242,O00141,P050,2,54.03,108.06
I000243,O00141,P021,2,121.22,242.44
I000244,O00142,P037,2,46.97,93.94
I000245,O00143,P022,1,82.79,82.79
I000246,O00144,P045,3,53.88,161.64
I000247,O00145,P033,3,15.92,47.76
I000248,O00145,P015,1,54.2,54.2
I000249,O00146,P014,1,89.25,89.25
I000250,O00147,P030,3,295.24,885.72
I000251,O00147,P034,2,45.83,91.66
I000252,O00148,P025,2,86.29,172.58
I000253,O00148,P004,1,111.08,111.08
I000254,O00149,P025,1,86.29,86.29
I000255,O00149,P008,1,498.77,498.77
I000256,O00149,P015,1,54.2,54.2
I000257,O00150,P015,3,54.2,162.6
I000258,O00151,P047,2,149.04,298.08
I000259,O00151,P050,1,54.03,54.03
I000260,O00151,P026,2,158.33,316.66
I000261,O00152,P011,1,148.19,148.19
I000262,O00152,P023,1,295.84,295.84
I000263,O00152,P020,2,38.5,77.0
I000264,O00153,P015,1,54.2,54.2
I000265,O00154,P039,1,61.74,61.74
I000266,O00155,P031,2,21.68,43.36
I000267,O00156,P050,1,54.03,54.03
I000268,O00157,P015,1,54.2,54.2
I000269,O00157,P017,2,36.26,72.52
I000270,O00158,P049,1,197.75,197.75
I000271,O00158,P045,1,53.88,53.88
I000272,O00159,P006,3,127.7,383.1
I000273,O00159,P048,2,157.25,314.5
I000274,O00160,P008,2,498.77,997.54
I000275,O00161,P011,1,148.19,148.19
I000276,O00162,P026,3,158.33,474.99
I000277,O00162,P008,2,498.77,997.54
I000278,O00163,P018,2,110.79,221.58
I000279,O00163,P016,3,55.49,166.47
I000280,O00163,P038,1,46.85,46.85
I000281,O00163,P041,1,96.33,96.33
I000282,O00164,P024,3,241.78,725.34
I000283,O00164,P021,3,121.22,363.66
I000284,O00165,P045,3,53.88,161.64
I000285,O00166,P034,2,45.83,91.66
I000286,O00166,P022,1,82.79,82.79
I000287,O00166,P046,1,211.54,211.54
I000288,O00167,P005,3,83.32,249.96
I000289,O00168,P044,1,141.41,141.41
I000290,O00169,P019,2,109.53,219.06
I000291,O00169,P038,2,46.85,93.7
I000292,O00169,P011,2,148.19,296.38
I000293,O00170,P010,3,485.4,1456.2
I000294,O00170,P008,3,498.77,1496.31
I000295,O00171,P035,3,74.52,223.56
I000296,O00172,P014,2,89.25,178.5
I000297,O00172,P024,2,241.78,483.56
I000298,O00172,P016,2,55.49,110.98
I000299,O00172,P034,1,45.83,45.83
I000300,O00173,P026,2,158.33,316.66
I000301,O00174,P013,1,110.79,110.79
I000302,O00175,P025,1,86.29,86.29
I000303,O00175,P033,1,15.92,15.92
I000304,O00176,P039,3,61.74,185.22
I000305,O00176,P050,3,54.03,162.09
I000306,O00177,P030,2,295.24,590.48
I000307,O00178,P034,1,45.83,45.83
I000308,O00178,P027,2,121.05,242.1
I000309,O00179,P005,2,83.32,166.64
I000310,O00179,P022,3,82.79,248.37
I000311,O00179,P018,3,110.79,332.37
I000312,O00180,P010,1,485.4,485.4
I000313,O00181,P043,3,129.81,389.43
I000314,O00181,P016,1,55.49,55.49
I000315,O00182,P021,1,121.22,121.22
I000316,O00183,P037,2,46.97,93.94
I000317,O00184,P007,2,371.02,742.04
I000318,O00185,P007,1,371.02,371.02
I000319,O00186,P043,3,129.81,389.43
I000320,O00187,P011,2,148.19,296.38
I000321,O00187,P035,2,74.52,149.04
I000322,O00188,P024,3,241.78,725.34
I000323,O00188,P023,3,295.84,887.52
I000324,O00189,P020,3,38.5,115.5
I000325,O00190,P048,2,157.25,314.5
I000326,O00190,P027,1,121.05,121.05
I000327,O00191,P005,3,83.32,249.96
I000328,O00191,P045,1,53.88,53.88
I000329,O00192,P041,1,96.33,96.33
I000330,O00193,P031,3,21.68,65.04
I000331,O00194,P001,2,362.29,724.58
I000332,O00195,P025,1,86.29,86.29
I000333,O00195,P034,2,45.83,91.66
I000334,O00195,P011,3,148.19,444.57
I000335,O00196,P049,1,197.75,197.75
I000336,O00197,P029,2,150.87,301.74
I000337,O00198,P009,3,414.73,1244.19
I000338,O00198,P029,2,150.87,301.74
I000339,O00198,P035,2,74.52,149.04
I000340,O00199,P017,1,36.26,36.26
I000341,O00200,P006,1,127.7,127.7
I000342,O00200,P048,3,157.25,471.75
I000343,O00201,P047,1,149.04,149.04
I000344,O00201,P049,1,197.75,197.75
I000345,O00202,P021,1,121.22,121.22
I000346,O00202,P035,3,74.52,223.56
I000347,O00203,P029,2,150.87,301.74
I000348,O00203,P010,3,485.4,1456.2
I000349,O00204,P048,2,157.25,314.5
I000350,O00205,P022,1,82.79,82.79
I000351,O00206,P031,1,21.68,21.68
I000352,O00207,P034,2,45.83,91.66
I000353,O00207,P023,2,295.84,591.68
I000354,O00207,P044,3,141.41,424.23
I000355,O00208,P015,3,54.2,162.6
I000356,O00209,P037,1,46.97,46.97
I000357,O00210,P048,1,157.25,157.25
I000358,O00211,P002,1,499.38,499.38
I000359,O00211,P039,2,61.74,123.48
I000360,O00212,P005,2,83.32,166.64
I000361,O00213,P030,2,295.24,590.48
I000362,O00213,P006,3,127.7,383.1
I000363,O00213,P005,1,83.32,83.32
I000364,O00213,P035,2,74.52,149.04
I000365,O00214,P034,1,45.83,45.83
I000366,O00214,P015,1,54.2,54.2
I000367,O00214,P035,2,74.52,149.04
I000368,O00215,P029,2,150.87,301.74
I000369,O00216,P036,2,53.08,106.16
I000370,O00217,P004,2,111.08,222.16
I000371,O00217,P005,2,83.32,166.64
I000372,O00218,P033,1,15.92,15.92
I000373,O00218,P048,1,157.25,157.25
I000374,O00219,P029,3,150.87,452.61
I000375,O00220,P029,1,150.87,150.87
I000376,O00221,P019,3,109.53,328.59
I000377,O00222,P046,3,211.54,634.62
I000378,O00223,P001,1,362.29,362.29
I000379,O00223,P031,3,21.68,65.04
I000380,O00224,P014,2,89.25,178.5
I000381,O00225,P004,3,111.08,333.24
I000382,O00225,P021,3,121.22,363.66
I000383,O00226,P024,1,241.78,241.78
I000384,O00226,P037,2,46.97,93.94
I000385,O00226,P033,2,15.92,31.84
I000386,O00226,P047,1,149.04,149.04
I000387,O00227,P030,2,295.24,590.48
I000388,O00227,P042,1,41.69,41.69
I000389,O00227,P021,1,121.22,121.22
I000390,O00228,P033,2,15.92,31.84
I000391,O00229,P010,3,485.4,1456.2
I000392,O00230,P026,3,158.33,474.99
I000393,O00230,P006,3,127.7,383.1
I000394,O00231,P015,1,54.2,54.2
I000395,O00231,P003,3,140.08,420.24
I000396,O00232,P048,3,157.25,471.75
I000397,O00232,P034,3,45.83,137.49
I000398,O00232,P049,3,197.75,593.25
I000399,O00233,P010,1,485.4,485.4
I000400,O00233,P037,2,46.97,93.94
I000401,O00234,P030,1,295.24,295.24
I000402,O00234,P050,2,54.03,108.06
I000403,O00235,P028,3,180.24,540.72
I000404,O00236,P011,1,148.19,148.19
I000405,O00236,P023,3,295.84,887.52
I000406,O00237,P025,3,86.29,258.87
I000407,O00237,P016,1,55.49,55.49
I000408,O00237,P010,1,485.4,485.4
I000409,O00238,P027,1,121.05,121.05
I000410,O00238,P017,3,36.26,108.78
I000411,O00239,P046,2,211.54,423.08
I000412,O00239,P048,1,157.25,157.25
I000413,O00239,P010,1,485.4,485.4
I000414,O00240,P048,2,157.25,314.5
I000415,O00240,P049,1,197.75,197.75
I000416,O00241,P012,2,105.16,210.32
I000417,O00242,P027,1,121.05,121.05
I000418,O00243,P028,2,180.24,360.48
I000419,O00243,P006,2,127.7,255.4
I000420,O00244,P018,1,110.79,110.79
I000421,O00244,P044,2,141.41,282.82
I000422,O00244,P021,2,121.22,242.44
I000423,O00245,P002,2,499.38,998.76
I000424,O00245,P047,1,149.04,149.04
I000425,O00245,P032,2,89.58,179.16
I000426,O00246,P016,1,55.49,55.49
I000427,O00247,P015,3,54.2,162.6
I000428,O00247,P005,3,83.32,249.96
I000429,O00247,P031,1,21.68,21.68
I000430,O00247,P032,1,89.58,89.58
I000431,O00248,P044,1,141.41,141.41
I000432,O00249,P038,1,46.85,46.85
I000433,O00249,P001,1,362.29,362.29
I000434,O00250,P017,3,36.26,108.78
I000435,O00250,P048,3,157.25,471.75
I000436,O00251,P041,3,96.33,288.99
I000437,O00252,P033,3,15.92,47.76
I000438,O00252,P014,3,89.25,267.75
I000439,O00253,P010,2,485.4,970.8
I000440,O00254,P036,1,53.08,53.08
I000441,O00255,P030,2,295.24,590.48
I000442,O00255,P040,2,21.28,42.56
I000443,O00255,P044,3,141.41,424.23
I000444,O00256,P043,3,129.81,389.43
I000445,O00256,P023,2,295.84,591.68
I000446,O00257,P045,2,53.88,107.76
I000447,O00257,P034,3,45.83,137.49
I000448,O00258,P035,1,74.52,74.52
I000449,O00259,P015,1,54.2,54.2
I000450,O00259,P006,1,127.7,127.7
I000451,O00260,P028,3,180.24,540.72
I000452,O00261,P012,2,105.16,210.32
I000453,O00261,P002,3,499.38,1498.14
I000454,O00261,P011,3,148.19,444.57
I000455,O00261,P017,2,36.26,72.52
I000456,O00262,P043,1,129.81,129.81
I000457,O00262,P008,1,498.77,498.77
I000458,O00263,P038,3,46.85,140.55
I000459,O00264,P012,2,105.16,210.32
I000460,O00264,P034,1,45.83,45.83
I000461,O00265,P049,1,197.75,197.75
I000462,O00266,P007,2,371.02,742.04
I000463,O00267,P011,1,148.19,148.19
I000464,O00268,P028,1,180.24,180.24
I000465,O00268,P036,2,53.08,106.16
I000466,O00269,P030,3,295.24,885.72
I000467,O00270,P048,3,157.25,471.75
I000468,O00270,P022,1,82.79,82.79
I000469,O00270,P039,2,61.74,123.48
I000470,O00271,P049,3,197.75,593.25
I000471,O00272,P019,1,109.53,109.53
I000472,O00272,P016,2,55.49,110.98
I000473,O00272,P033,1,15.92,15.92
I000474,O00272,P007,3,371.02,1113.06
I000475,O00273,P013,3,110.79,332.37
I000476,O00273,P007,2,371.02,742.04
I000477,O00274,P026,2,158.33,316.66
I000478,O00274,P009,3,414.73,1244.19
I000479,O00274,P013,1,110.79,110.79
I000480,O00275,P003,1,140.08,140.08
I000481,O00275,P022,3,82.79,248.37
I000482,O00276,P016,1,55.49,55.49
I000483,O00276,P023,2,295.84,591.68
I000484,O00276,P019,3,109.53,328.59
I000485,O00277,P029,2,150.87,301.74
I000486,O00277,P032,3,89.58,268.74
I000487,O00278,P013,2,110.79,221.58
I000488,O00278,P028,3,180.24,540.72
I000489,O00278,P019,3,109.53,328.59
I000490,O00279,P025,2,86.29,172.58
I000491,O00279,P032,2,89.58,179.16
I000492,O00280,P004,2,111.08,222.16
I000493,O00280,P043,2,129.81,259.62
I000494,O00280,P049,1,197.75,197.75
I000495,O00280,P019,1,109.53,109.53
I000496,O00281,P032,3,89.58,268.74
I000497,O00282,P006,3,127.7,383.1
I000498,O00282,P048,2,157.25,314.5
I000499,O00282,P029,3,150.87,452.61
I000500,O00283,P009,2,414.73,829.46
I000501,O00283,P005,3,83.32,249.96
I000502,O00284,P029,3,150.87,452.61
I000503,O00284,P048,3,157.25,471.75
I000504,O00285,P028,1,180.24,180.24
I000505,O00286,P027,2,121.05,242.1
I000506,O00286,P043,3,129.81,389.43
I000507,O00287,P013,3,110.79,332.37
I000508,O00288,P012,3,105.16,315.48
I000509,O00289,P009,1,414.73,414.73
I000510,O00289,P043,3,129.81,389.43
I000511,O00290,P043,3,129.81,389.43
I000512,O00290,P030,2,295.24,590.48
I000513,O00291,P028,2,180.24,360.48
I000514,O00291,P046,3,211.54,634.62
I000515,O00292,P004,3,111.08,333.24
I000516,O00293,P048,3,157.25,471.75
I000517,O00293,P047,2,149.04,298.08
I000518,O00293,P029,3,150.87,452.61
I000519,O00294,P034,3,45.83,137.49
I000520,O00294,P003,2,140.08,280.16
I000521,O00295,P019,2,109.53,219.06
I000522,O00295,P043,1,129.81,129.81
I000523,O00295,P006,3,127.7,383.1
I000524,O00296,P043,2,129.81,259.62
I000525,O00297,P042,3,41.69,125.07
I000526,O00298,P029,2,150.87,301.74
I000527,O00299,P030,1,295.24,295.24
I000528,O00299,P025,2,86.29,172.58
I000529,O00300,P050,1,54.03,54.03
I000530,O00300,P044,1,141.41,141.41
I000531,O00301,P004,2,111.08,222.16
I000532,O00301,P029,1,150.87,150.87
I000533,O00302,P035,1,74.52,74.52
I000534,O00302,P030,2,295.24,590.48
I000535,O00303,P015,1,54.2,54.2
I000536,O00303,P049,3,197.75,593.25
I000537,O00303,P025,3,86.29,258.87
I000538,O00304,P029,1,150.87,150.87
I000539,O00304,P001,3,362.29,1086.87
I000540,O00305,P045,2,53.88,107.76
I000541,O00305,P013,1,110.79,110.79
I000542,O00306,P033,3,15.92,47.76
I000543,O00306,P027,2,121.05,242.1
I000544,O00307,P045,1,53.88,53.88
I000545,O00307,P037,2,46.97,93.94
I000546,O00308,P018,3,110.79,332.37
I000547,O00309,P029,3,150.87,452.61
I000548,O00310,P007,3,371.02,1113.06
I000549,O00311,P011,3,148.19,444.57
I000550,O00312,P019,2,109.53,219.06
I000551,O00312,P024,1,241.78,241.78
I000552,O00312,P008,3,498.77,1496.31
I000553,O00313,P043,3,129.81,389.43
I000554,O00313,P044,2,141.41,282.82
I000555,O00314,P004,3,111.08,333.24
I000556,O00314,P050,3,54.03,162.09
I000557,O00315,P002,3,499.38,1498.14
I000558,O00315,P035,1,74.52,74.52
I000559,O00316,P038,1,46.85,46.85
I000560,O00317,P050,1,54.03,54.03
I000561,O00317,P046,1,211.54,211.54
I000562,O00317,P005,1,83.32,83.32
I000563,O00317,P001,3,362.29,1086.87
I000564,O00318,P023,2,295.84,591.68
I000565,O00318,P030,1,295.24,295.24
I000566,O00319,P042,3,41.69,125.07
I000567,O00320,P040,1,21.28,21.28
I000568,O00321,P028,2,180.24,360.48
I000569,O00321,P046,1,211.54,211.54
I000570,O00322,P001,3,362.29,1086.87
I000571,O00323,P046,1,211.54,211.54
I000572,O00323,P007,1,371.02,371.02
I000573,O00323,P028,2,180.24,360.48
I000574,O00324,P049,3,197.75,593.25
I000575,O00324,P030,3,295.24,885.72
I000576,O00325,P016,2,55.49,110.98
I000577,O00325,P026,2,158.33,316.66
I000578,O00325,P017,3,36.26,108.78
I000579,O00326,P010,1,485.4,485.4
I000580,O00326,P037,3,46.97,140.91
I000581,O00327,P047,1,149.04,149.04
I000582,O00328,P047,3,149.04,447.12
I000583,O00328,P032,1,89.58,89.58
I000584,O00328,P045,3,53.88,161.64
I000585,O00328,P019,1,109.53,109.53
I000586,O00329,P031,3,21.68,65.04
I000587,O00330,P014,2,89.25,178.5
I000588,O00331,P030,1,295.24,295.24
I000589,O00332,P031,2,21.68,43.36
I000590,O00332,P002,2,499.38,998.76
I000591,O00333,P023,3,295.84,887.52
I000592,O00334,P048,3,157.25,471.75
I000593,O00334,P023,3,295.84,887.52
I000594,O00335,P017,3,36.26,108.78
I000595,O00336,P047,1,149.04,149.04
I000596,O00337,P032,3,89.58,268.74
I000597,O00337,P004,3,111.08,333.24
I000598,O00337,P009,1,414.73,414.73
I000599,O00338,P026,3,158.33,474.99
I000600,O00338,P010,2,485.4,970.8
I000601,O00338,P050,2,54.03,108.06
I000602,O00338,P039,1,61.74,61.74
I000603,O00339,P009,3,414.73,1244.19
I000604,O00340,P021,1,121.22,121.22
I000605,O00340,P046,3,211.54,634.62
I000606,O00341,P024,2,241.78,483.56
I000607,O00341,P043,3,129.81,389.43
I000608,O00341,P046,3,211.54,634.62
I000609,O00342,P004,1,111.08,111.08
I000610,O00343,P008,3,498.77,1496.31
I000611,O00344,P039,3,61.74,185.22
I000612,O00345,P040,1,21.28,21.28
I000613,O00346,P006,3,127.7,383.1
I000614,O00347,P042,3,41.69,125.07
I000615,O00347,P044,1,141.41,141.41
I000616,O00348,P047,3,149.04,447.12
I000617,O00349,P031,3,21.68,65.04
I000618,O00349,P034,2,45.83,91.66
I000619,O00350,P047,1,149.04,149.04
I000620,O00350,P026,3,158.33,474.99
I000621,O00350,P036,3,53.08,159.24
I000622,O00351,P050,3,54.03,162.09
I000623,O00351,P038,2,46.85,93.7
I000624,O00351,P047,3,149.04,447.12
I000625,O00352,P009,1,414.73,414.73
I000626,O00352,P038,3,46.85,140.55
I000627,O00352,P034,3,45.83,137.49
I000628,O00353,P031,2,21.68,43.36
I000629,O00354,P029,1,150.87,150.87
I000630,O00354,P048,1,157.25,157.25
I000631,O00355,P046,1,211.54,211.54
I000632,O00356,P024,3,241.78,725.34
I000633,O00356,P001,1,362.29,362.29
I000634,O00357,P045,1,53.88,53.88
I000635,O00357,P017,2,36.26,72.52
I000636,O00358,P045,2,53.88,107.76
I000637,O00359,P004,2,111.08,222.16
I000638,O00359,P014,2,89.25,178.5
I000639,O00360,P029,3,150.87,452.61
I000640,O00361,P050,1,54.03,54.03
I000641,O00362,P036,3,53.08,159.24
I000642,O00362,P020,1,38.5,38.5
I000643,O00363,P039,3,61.74,185.22
I000644,O00363,P047,1,149.04,149.04
I000645,O00364,P049,1,197.75,197.75
I000646,O00364,P032,2,89.58,179.16
I000647,O00365,P036,1,53.08,53.08
I000648,O00365,P033,2,15.92,31.84
I000649,O00365,P031,3,21.68,65.04
I000650,O00366,P006,1,127.7,127.7
I000651,O00367,P031,2,21.68,43.36
I000652,O00368,P045,3,53.88,161.64
I000653,O00369,P037,1,46.97,46.97
I000654,O00370,P011,1,148.19,148.19
I000655,O00370,P021,3,121.22,363.66
I000656,O00371,P003,3,140.08,420.24
I000657,O00372,P050,3,54.03,162.09
I000658,O00373,P012,3,105.16,315.48
I000659,O00374,P014,3,89.25,267.75
I000660,O00374,P007,3,371.02,1113.06
I000661,O00374,P036,2,53.08,106.16
I000662,O00375,P020,1,38.5,38.5
